Language,Project,Special_Project,Files,Tokens,Lines,Functions,Classes,Total_Imports,Standard_Imports,Cross_File_Imports,Intra_File_Dependencies
C,github_glb-director,No,4,1005,110,13,0,9,7,2,96
C,noporpoise_BitArray,No,12,63576,6118,194,2,75,47,28,2129
C,codeplea_genann,No,12,12103,1105,35,2,50,38,12,343
C,teslamotors_ttpoe,No,22,88089,7339,190,27,194,18,176,2014
C,najoshi_sickle,No,16,15375,1400,24,7,87,47,40,271
C,netoptimizer_prototype-kernel,No,81,212379,22405,649,161,534,135,399,4392
C,ayeks_SGX-hardware,No,20,17889,1420,78,3,66,33,33,290
C,zephyrproject-rtos_example-application,No,25,11701,1254,52,10,46,24,22,541
C,madushadhanushka_simple-sqlite,No,26,72737,7523,194,41,65,25,40,1576
C,brimworks_lua-zlib,No,1,10358,1066,38,0,6,3,3,480
C,Muirey03_CVE-2022-32832,No,3,4925,545,38,0,25,14,11,187
C,kddnewton_tree,No,3,2008,249,16,2,20,12,8,107
C,lemire_fastrange,No,9,2368,220,9,0,36,26,10,111
C,marc-q_libbmp,No,8,6422,782,43,8,18,12,6,197
C++,martinmoene_string-view-lite,No,12,43364,4087,244,178,75,34,41,2705
C++,ytchhh_projectwithcomment,No,73,171345,18370,811,164,506,77,429,9741
C++,vivkin_gason,No,5,7624,930,38,6,34,20,14,280
C++,nmwsharp_robust-laplacians-py,No,4,13471,1187,1,0,28,1,27,577
C++,aengelke_rellume,No,24,122890,8793,308,18,234,18,216,6266
C++,venshine_AppUninstall,No,3,4345,458,14,7,23,6,17,165
C++,mohaps_lrucache11,No,9,5160,622,52,9,47,30,17,330
C++,ITachiLab_hotkey-detective,No,21,169677,17184,912,646,120,21,99,8122
C++,suyash_ulid,No,5,6323,574,54,0,25,8,17,443
C++,ohmu_node-posix,No,1,6228,560,7,6,17,3,14,470
C++,scottbez1_SwitchOrnamentReference,No,8,12872,1348,59,2,64,21,43,807
C++,akrzemi1_explicit,No,9,10336,971,18,30,25,1,24,431
C++,hzl123456_LibyuvDemo,No,76,828882,59269,1330,196,309,58,251,14428
C++,snipercy_leveldb,No,72,166825,18016,812,165,502,72,430,9935
C++,OctoMap_octomap_rviz_plugins,No,7,13779,1379,24,2,32,1,31,649
C++,gnuradio_gr-bokehgui,No,10,6375,654,11,0,51,0,51,281
C++,FeJQ_DexPatcher,No,9,238429,22671,445,343,83,32,51,6519
C++,lhamot_CPP2D,No,28,52427,6299,308,58,131,22,109,3634
C++,myriadrf_LoRa-SDR,No,25,31463,3017,64,11,71,13,58,1065
C++,google_magritte,No,32,49010,4728,78,15,226,35,191,2378
C++,aantron_better-enums,No,25,13606,1352,92,23,66,23,43,371
C++,MCGallaspy_dr_strangetemplate,No,8,3532,401,62,55,28,17,11,76
C++,paypal_seifnode,No,14,26362,2892,33,1,78,14,64,1022
C++,walling_node-rsvg,No,6,6771,697,26,1,22,1,21,448
C++,frankosterfeld_qtkeychain,No,26,37983,4083,153,22,96,8,88,2004
C++,NoAvailableAlias_nano-signal-slot,No,3,312,35,3,0,2,0,2,30
C++,cbeck88_visit_struct,No,15,50772,3378,159,159,72,23,49,4049
C++,CapibaraZero_fw,No,26,15946,1531,7,1,40,0,40,778
C++,joboccara_NamedType,No,11,144229,15260,915,747,97,27,70,7166
C++,ga0_pyprotect,No,7,24420,2076,41,17,23,8,15,920
C++,facebook_pyre2,No,1,8288,970,10,5,10,2,8,269
C++,PX4_PX4-GPSDrivers,No,13,80614,6245,108,9,60,25,35,1254
C++,OpenSLAM-org_openslam_gmapping,No,3,521,54,4,0,7,2,5,48
C++,brandonpelfrey_Fast-BVH,No,9,17947,1511,17,19,51,9,42,761
C++,stbrumme_hash-library,No,12,64287,2521,55,1,59,13,46,870
C++,Microway_gpu-burn,No,3,8357,680,20,5,19,11,8,367
C++,peterWon_CleaningRobot,No,9,4176,430,11,0,50,4,46,145
C++,LeechanX_Ring-Log,No,10,3325,409,29,14,53,11,42,130
C++,asynts_pico-os,No,111,57810,7503,410,248,354,18,336,3473
C++,koba-jon_pytorch_cpp,No,233,397691,29489,683,147,1954,635,1319,14060
C++,ppl-ai_pplx-kernels,No,16,19924,1877,59,10,91,7,84,820
C++,AustinBrunkhorst_CPP-Reflection,No,90,63341,8313,193,67,237,27,210,2795
C++,SRombauts_SimplexNoise,No,5,8923,641,29,0,18,4,14,192
C++,boostorg_uuid,No,96,72607,6280,207,92,474,77,397,2507
C++,dmoulding_boilermake,No,9,8087,809,3,0,22,2,20,427
C++,jeecrypt_JeeUIFramework,No,4,563,68,9,1,6,1,5,41
C++,audreyt_node-webworker-threads,No,9,28483,2775,41,5,53,15,38,1713
C++,jwise_HoRNDIS,No,3,14671,1371,58,16,11,0,11,420
C++,tojocky_node-printer,No,7,20415,2047,23,6,27,9,18,1102
C++,empirical-soft_command-interpreter,No,6,4777,528,39,12,34,15,19,241
C++,chronolaw_cpp_study,No,43,24106,3484,169,39,216,126,90,1295
C++,kyamagu_mexplus,No,14,9478,1032,58,13,62,22,40,637
C++,ekg_intervaltree,No,3,80926,8613,662,342,56,24,32,4189
C++,cruisercoder_cppstddb,No,16,2407,283,12,0,75,28,47,177
C++,ghaiklor_llvm-kaleidoscope,No,23,5811,668,16,2,93,13,80,316
C++,nelhage_rules_boost,No,86,10876,1301,112,17,227,33,194,425
C++,kashif_node-cuda,No,27,15126,1477,80,27,91,3,88,876
C++,clydemcqueen_tello_ros,No,20,16226,1643,77,27,78,10,68,616
C++,0xdead4ead_BeastHttp,No,59,139096,12546,1156,1269,245,43,202,5008
C++,PhracturedBlue_ESP8266MQTTMesh,No,5,23612,2147,74,6,18,6,12,1083
C++,clab_stack-lstm-ner,No,4,19483,1716,12,3,31,9,22,827
C++,vpiotr_decimal_for_cpp,No,17,23151,1902,12,5,50,6,44,1197
C++,TartanLlama_optional,No,21,184154,18361,1201,1068,128,25,103,8927
C++,douban_paracel,No,115,159248,16952,854,368,839,329,510,6876
C++,googlesamples_assistant-sdk-cpp,No,13,17980,1874,22,3,113,34,79,770
C++,uber-archive_pyflame,No,16,16259,1790,56,5,116,31,85,556
C++,MadLittleMods_node-usb-detection,No,15,23307,2270,60,6,52,16,36,1023
C++,p4lang_p4app-switchML,No,33,56968,4843,156,42,179,48,131,1647
C++,livebook-dev_pythonx,No,8,16390,1506,30,8,29,9,20,857
C++,mikesart_inotify-info,No,4,9377,1021,55,23,33,11,22,347
C++,Polytonic_Chlorine,No,16,100686,13644,185,173,76,37,39,3029
C++,fpagliughi_sockpp,No,62,66614,7163,113,5,320,119,201,2774
C++,AndrewWalker_Dubins-Curves,No,5,23950,1284,18,10,10,2,8,732
C++,Rob--_memoryjs,No,6,1641,227,30,2,14,8,6,157
C++,pentilm_StellarSolver,No,13,28356,2718,27,2,39,16,23,1396
C++,iKrishneel_octomap_server2,No,12,14705,1407,5,0,17,0,17,741
C++,leanflutter_launch_at_startup,No,10,3848,456,28,2,26,2,24,207
C++,radj307_ARRCON,No,23,12157,1073,24,14,72,13,59,454
C++,nalin1096_path_planning,No,12,25013,2449,34,0,50,11,39,1245
C++,bblanchon_ArduinoTrace,No,11,765,120,16,2,33,0,33,42
C++,plasma-umass_cwhy,No,80,46224,3421,258,144,105,48,57,1034
C++,parallel101_stl1weekend,No,33,46453,4947,336,320,145,45,100,1958
C++,google_dart-gl,No,2,1005,94,10,0,4,2,2,74
C++,google_integers,No,11,11201,1114,43,1,28,11,17,524
C++,shicai_Caffe_Manual,No,5,4376,449,18,0,17,8,9,186
C++,banach-space_llvm-tutor,No,6,9350,896,7,0,13,3,10,466
C++,ros2_turtlebot2_demo,No,4,893,103,8,3,6,1,5,77
C++,kazuho_picojson,No,6,9286,827,20,1,30,15,15,499
C++,openvenues_node-postal,No,2,3067,253,6,0,5,1,4,210
C++,aguinet_usbtop,No,986,2105675,158760,20554,38538,1082,49,1033,55377
C++,foonathan_type_safe,No,69,290879,30624,1519,1455,366,49,317,13833
C++,paulrademacher_asyncpp,No,29,8517,971,34,5,84,34,50,251
C++,MikeLankamp_fpm,No,170,353406,29364,791,325,1017,114,903,15057
C++,banach-space_clang-tutor,No,49,17205,1655,96,45,45,13,32,589
C++,martinmoene_span-lite,No,13,60746,5972,261,233,94,44,50,3744
C++,nmwsharp_potpourri3d,No,5,8235,668,15,6,52,0,52,435
C++,charlesnicholson_nanoprintf,No,11,1813,163,7,0,27,0,27,50
C++,nmslib_hnswlib,No,24,63286,5865,95,23,68,31,37,2579
C++,akrzemi1_Optional,No,8,28650,2985,168,170,24,12,12,1614
C++,ApsarasX_llvm-bindings,No,56,115728,9128,903,8,111,4,107,7967
C++,orosmatthew_hydrogen-cpp,No,13,11096,1174,39,8,52,25,27,638
C++,franktea_coro_epoll_kqueue,No,13,11620,1190,40,13,63,17,46,598
C++,arobenko_embxx,No,16,28093,2755,38,5,56,19,37,1417
C++,chmike_CxxUrl,No,5,19241,1504,60,7,29,13,16,898
C++,ckcr4lyf_EvilAppleJuice-ESP32,No,5,8872,858,8,1,7,2,5,497
C++,GreenLightning_gpu-font-rendering,No,12,13281,1229,42,21,51,12,39,456
C++,sinairv_Cpp-Tutorial-Samples,No,57,17056,1752,105,7,137,127,10,376
C++,mhunicken_icpc-team-notebook-el-vasito,No,222,143775,14315,1097,194,305,155,150,8937
C++,daniilidis-group_msckf_mono,No,12,20307,1765,62,0,73,4,69,759
C++,marcoschwartz_aREST,No,3,7930,781,3,2,8,1,7,430
C++,BartVandewoestyne_Effective-Modern-Cpp,No,205,48318,5853,394,160,340,211,129,1520
C++,korken89_crect,No,41,28236,3376,125,104,124,9,115,707
C++,wapiflapi_veles,No,62,75528,7890,360,5,294,20,274,4776
C++,eidheim_tiny-process-library,No,14,16905,1773,15,3,74,36,38,902
C++,google_graph-mining,No,82,208141,17916,230,22,1178,152,1026,9464
C++,trailofbits_constexpr-everything,No,12,30128,2939,48,4,18,9,9,1565
C++,qingkouwei_oarplayer,No,3,416470,42892,1970,466,41,16,25,10873
C++,shacklettbp_madrona_mjx,No,11,35622,3455,49,31,62,5,57,1411
C++,vjeux_jspp,No,45,4768,531,21,0,81,29,52,117
C++,abique_vst-bridge,No,9,21844,2154,89,73,42,12,30,746
C++,AsahiLinux_macvdmtool,No,6,10104,995,16,3,15,3,12,483
C++,MengRao_tscns,No,2,2004,207,22,0,12,6,6,116
C++,lducas_FHEW,No,20,16185,1484,40,0,99,22,77,600
C++,kainjow_Mustache,No,4,167794,17269,944,686,87,23,64,8352
C++,NVIDIA-AI-IOT_argus_camera,No,7,7873,753,6,3,10,0,10,383
C++,bl4ckb0ne_delaunay-triangulation,No,7,5001,541,9,8,39,9,30,299
C++,RocketRobz_3DSBank,No,16,100315,8106,175,14,108,26,82,2123
C++,graphitemaster_glsl-parser,No,14,37221,4315,135,4,55,19,36,2575
C++,znone_qtl,No,25,97712,12328,875,288,166,73,93,5443
C++,rsashka_memsafe,No,9,22634,2321,98,39,47,13,34,1241
C++,melax_sandbox,No,34,113859,9096,293,76,225,78,147,4300
C++,webgpu-native_webgpu-headers,No,4,1225,119,4,0,18,13,5,37
C++,martinmoene_optional-lite,No,14,42481,4571,192,146,104,52,52,2337
C++,KEKE046_mlir-tutorial,No,20,11093,1059,16,0,87,4,83,532
C++,jbandela_simple_match,No,14,20824,1892,424,486,91,27,64,757
C++,scc-tw_VMPilot,No,54,37292,3759,99,62,183,52,131,1360
C++,sailormoon_flags,No,153,120986,13439,555,245,743,171,572,9000
C++,Grizi-ju_Astar_JPS_Pathplanning_in_ROS,No,17,47428,4894,175,78,162,25,137,2106
C++,mtrebi_thread-pool,No,5,1862,236,5,0,20,9,11,148
C++,jeffhammond_dpcpp-tutorial,No,27,4910,518,30,3,50,28,22,147
C++,Tencent_libco,No,19,34785,4049,269,162,152,70,82,1110
C++,jenniferlu717_Bracken,No,9,15587,1520,24,9,19,3,16,635
C++,nginxinc_nginx-otel,No,15,10540,1194,56,22,57,9,48,431
C++,a-e-k_canvas_ity,No,13,208540,9031,104,3,43,14,29,6551
C++,innolitics_natural-neighbor-interpolation,No,4,3059,275,6,1,17,5,12,120
C++,mattbierner_Template-Assembly,No,9,15738,1478,2,0,7,0,7,775
C++,lamerman_cpp-lru-cache,No,3,2444,225,4,2,8,2,6,206
C++,ned-kelly_docker-voltronic-homeassistant,No,14,21466,2050,24,2,69,33,36,980
C++,ycjuan_kaggle-2014-criteo,No,11,12628,1489,37,4,72,37,35,577
C++,torrvision_Objectness,No,22,49058,4888,147,27,45,11,34,1623
C++,fritzone_obfy,No,6,9635,1071,23,1,11,2,9,608
C++,educ8s_Raylib-CPP-Starter-Template-for-VSCODE-V2,No,5,8810,813,3,0,7,0,7,443
C++,myjfm_cnetpp,No,63,98719,10517,385,65,295,53,242,5106
C++,JieweiWei_md5,No,3,4903,364,17,0,13,8,5,233
C++,cucumber_cucumber-cpp,No,90,48530,5865,325,156,291,65,226,3049
C++,crosire_blink,No,20,34176,3231,51,23,52,13,39,1341
C++,adzerk_node-lru-native,No,2,2974,292,8,2,8,2,6,202
C++,r4d10n_retrogram-rtlsdr,No,12,12159,1154,34,1,73,23,50,550
C++,erengy_anitomy,No,48,41316,4545,70,39,275,71,204,2236
C++,cmargiotta_compile-time-fsm,No,10,10095,1287,131,264,37,2,35,255
C++,dropbox_json11,No,6,13495,1374,65,25,62,34,28,703
C++,chenshuo_muduo-tutorial,No,3,729,90,6,1,15,4,11,33
C++,Thekla_thekla_atlas,No,53,144666,15121,505,33,368,24,344,5584
C++,jamboree_CxxFunctionBenchmark,No,21,72989,6996,516,653,150,30,120,2717
C++,taocpp_tuple,No,21,16469,1520,98,150,88,9,79,441
C++,jnschulze_flutter-webview-windows,No,18,25403,2824,90,3,79,15,64,1164
C++,gaowenliang_camera_model,No,49,202587,19327,425,106,336,62,274,7848
C++,mmozeiko_CxxProfiler,No,32,96987,5711,136,14,73,10,63,2266
C++,EmixamPP_linux-enable-ir-emitter,No,24,27178,2795,41,15,103,37,66,1275
C++,exeldro_obs-audio-monitor,No,16,46096,4596,132,21,73,0,73,2744
C++,hogliux_semimap,No,4,5281,539,29,14,16,8,8,783
C++,leggedrobotics_traversability_estimation,No,17,27948,2758,75,14,119,26,93,1169
C++,youngyangyang04_Skiplist-CPP,No,5,2380,227,11,2,15,6,9,163
C++,imageworks_pystring,No,7,11687,1492,77,0,16,3,13,503
C++,nkliuhui_sync_gps_lidar_imu_cam,No,35,81307,7840,138,16,184,46,138,2449
C++,idiap_kaldi-ivector,No,12,20809,1934,33,3,37,1,36,1040
C++,ggerganov_incppect,No,11,21460,1903,24,4,26,7,19,1062
C++,JakobEngel_dso_ros,No,16,12510,1256,11,3,29,14,15,625
C++,mireado_ITHVNR,No,59,633461,45360,1018,149,298,22,276,9494
C++,itsliupeng_torchnvjpeg,No,10,10762,1054,11,0,15,6,9,554
C++,dcleblanc_SafeInt,No,23,446300,26756,404,400,50,6,44,2885
JavaScript,hootsuite_grid,No,16,13375,1334,239,3,17,1,16,325
JavaScript,Flet_prettier-bytes,No,4,2042,181,11,0,4,0,4,239
JavaScript,jonschlinkert_is-number,No,7,3946,554,73,0,12,0,12,289
JavaScript,chemzqm_stack-source-map,No,12,21031,275,414,4,10,0,10,782
JavaScript,fossasia_knitserver,No,3,903,114,9,0,2,0,2,111
JavaScript,alexbeletsky_backbone-express-spa,No,23,6543,833,166,1,46,10,36,421
JavaScript,blueimp_JavaScript-MD5,No,5,7248,611,111,0,9,3,6,388
JavaScript,eternauta1337_trivias,No,5,3210,362,30,0,9,0,9,283
JavaScript,jedp_porter-stemmer,No,8,4795,454,66,0,18,3,15,395
JavaScript,IonicaBizau_scrape-it,No,8,4296,627,1,0,13,3,10,178
JavaScript,charmbracelet_tree-sitter-vhs,No,7,3204,324,7,0,16,7,9,248
JavaScript,expressjs_cookie-parser,No,6,5210,559,115,0,15,1,14,363
JavaScript,expressjs_vhost,No,3,4311,506,149,0,8,2,6,373
JavaScript,docker-practice_actions-setup-docker,No,1,1505,153,3,0,2,1,1,150
JavaScript,fregante_code-tag,No,6,1991,183,2,0,7,0,7,114
JavaScript,Level_level,No,7,1487,146,9,0,15,0,15,124
JavaScript,codekirei_node-multispinner,No,14,9857,1352,68,1,64,3,61,680
JavaScript,expressjs_cookie-session,No,9,3083,439,68,3,16,4,12,203
JavaScript,gulp-community_gulp-cached,No,4,4811,588,54,0,15,2,13,431
JavaScript,google_mathsteps,No,62,28992,2404,290,0,149,0,149,1271
JavaScript,jaredhanson_passport-twitter,No,10,9068,950,283,0,20,2,18,673
JavaScript,crypto-utils_keygrip,No,4,2950,275,69,2,9,1,8,207
JavaScript,6_stopwords-json,No,5,4320,438,26,0,16,1,15,300
JavaScript,jonkemp_gulp-inline-css,No,4,2117,276,11,0,20,4,16,199
JavaScript,luijar_functional-programming-js,No,52,28609,3148,422,20,115,0,115,2207
JavaScript,jdorfman_awesome-json-datasets,No,5,889,96,7,0,7,2,5,75
JavaScript,joaonuno_tree-model-js,No,7,12915,1421,241,3,14,0,14,807
JavaScript,ahmadawais_Gutenberg-Boilerplate,No,14,7535,795,46,0,4,0,4,224
JavaScript,jeromeetienne_microevent.js,No,10,3814,450,80,4,10,0,10,356
JavaScript,ebradyjobory_finance.js,No,4,5815,498,139,0,6,0,6,297
JavaScript,flitbit_diff,No,29,17443,2009,275,1,54,12,42,1191
JavaScript,alexei_sprintf.js,No,10,6659,646,89,1,19,0,19,565
JavaScript,altafino_react-webpack-5-tailwind-2,No,34,5706,706,15,1,61,1,60,389
JavaScript,dominictarr_JSONStream,No,37,12025,1513,268,1,115,40,75,901
JavaScript,d3_d3-queue,No,16,4762,560,132,3,18,0,18,372
JavaScript,ericelliott_rfx,No,3,1502,164,21,0,4,0,4,88
JavaScript,lorisleiva_tailwindcss-plugins,No,22,6142,707,26,0,38,0,38,278
JavaScript,GoogleChrome_proxy-polyfill,No,8,7584,883,177,13,13,2,11,387
JavaScript,bryanwoods_autolink-js,No,7,21515,2504,672,2,2,2,0,655
JavaScript,ded_klass,No,8,6155,785,225,8,5,0,5,514
JavaScript,6tail_lunar-javascript,No,37,201408,10483,1956,0,37,0,37,5303
JavaScript,iammerrick_Squire.js,No,18,7534,963,209,0,5,0,5,532
JavaScript,kaimallea_node-googl,No,9,2423,281,40,0,22,3,19,193
JavaScript,brettlangdon_jsnice,Yes,3,2294,286,17,0,6,4,2,211
JavaScript,chromakode_react-html-email,No,30,8924,986,43,1,68,0,68,550
JavaScript,alexreardon_raf-schd,No,19,32367,3878,29,0,12,0,12,513
JavaScript,chrisdavies_rlite,No,5,5767,554,82,0,8,6,2,467
JavaScript,CesiumGS_obj2gltf,No,3,3362,413,46,0,15,3,12,108
JavaScript,fent_randexp.js,No,14,5852,591,52,0,33,0,33,301
JavaScript,Jxck_assert,No,6,9944,1030,163,8,5,0,5,746
JavaScript,aksakalli_gtop,No,1,9,1,0,0,1,0,1,1
JavaScript,hughsk_envify,No,10,3379,396,49,0,17,6,11,288
JavaScript,chemplexity_molecules,No,14,10881,883,116,0,9,0,9,462
JavaScript,dylang_node-xml,No,11,3736,352,3,0,12,1,11,317
JavaScript,ElaWorkshop_awesome-cn-cafe,No,9,5758,613,28,0,27,14,13,433
JavaScript,jaredhanson_passport-local,No,14,5041,677,173,0,25,0,25,439
JavaScript,codemeasandwich_graphql-query-builder,No,6,4363,425,84,2,9,0,9,389
JavaScript,google_eslint-config-google,No,4,4495,422,0,0,4,0,4,95
JavaScript,jwtk_njwt,No,18,13460,1453,366,18,69,11,58,1078
JavaScript,csstools_postcss-write-svg,No,7,4778,463,20,0,7,0,7,305
JavaScript,gruntjs_grunt-contrib-sass,No,8,4872,666,41,0,20,4,16,340
JavaScript,alexreardon_use-memo-one,No,39,55172,6305,32,4,34,0,34,741
JavaScript,aceakash_string-similarity,No,8,3052,261,12,0,7,1,6,265
JavaScript,aarondfrancis_vue-model,No,16,4199,526,45,4,23,0,23,334
JavaScript,fzaninotto_screenshot-as-a-service,No,6,3677,431,79,2,15,7,8,214
